comid,statistic,variable,year,month,value
2823750,mean,estimated,1950,1,828.4254425
2823750,mean,estimated,1950,2,1682.86053
2823750,mean,estimated,1950,3,1794.300924
2823750,mean,estimated,1950,4,3620.714267
2823750,mean,estimated,1950,5,4987.455052
2823750,mean,estimated,1950,6,2969.354005
2823750,mean,estimated,1950,7,1197.856856
2823750,mean,estimated,1950,8,487.267016
2823750,mean,estimated,1950,9,328.77287
2823750,mean,estimated,1950,10,463.6809624
2823750,mean,estimated,1950,11,5451.463542
2823750,mean,estimated,1950,12,6887.804356
2823750,mean,estimated,1951,1,3310.563747
2823750,mean,estimated,1951,2,3097.950051
2823750,mean,estimated,1951,3,2264.915599
2823750,mean,estimated,1951,4,3966.627864
2823750,mean,estimated,1951,5,5351.461588
2823750,mean,estimated,1951,6,2026.203746
2823750,mean,estimated,1951,7,855.9718432
2823750,mean,estimated,1951,8,408.7591376
2823750,mean,estimated,1951,9,264.666581
2823750,mean,estimated,1951,10,284.3060341
2823750,mean,estimated,1951,11,537.6225541
2823750,mean,estimated,1951,12,1498.510107
2823750,mean,estimated,1952,1,1903.054894
2823750,mean,estimated,1952,2,2414.532561
2823750,mean,estimated,1952,3,3480.639904
2823750,mean,estimated,1952,4,5922.813717
2823750,mean,estimated,1952,5,10117.35412
2823750,mean,estimated,1952,6,6301.291934
2823750,mean,estimated,1952,7,2517.442886
2823750,mean,estimated,1952,8,678.0720546
2823750,mean,estimated,1952,9,575.6078763
2823750,mean,estimated,1952,10,410.7351821
2823750,mean,estimated,1952,11,276.4758032
2823750,mean,estimated,1952,12,868.3835
2823750,mean,estimated,1953,1,1402.288013
2823750,mean,estimated,1953,2,1131.66645
2823750,mean,estimated,1953,3,1527.201035
2823750,mean,estimated,1953,4,2683.886862
2823750,mean,estimated,1953,5,4153.421787
2823750,mean,estimated,1953,6,3258.665875
2823750,mean,estimated,1953,7,1136.976795
2823750,mean,estimated,1953,8,487.6007387
2823750,mean,estimated,1953,9,345.1068574
2823750,mean,estimated,1953,10,275.6344885
2823750,mean,estimated,1953,11,402.5278328
2823750,mean,estimated,1953,12,614.5009045
2823750,mean,estimated,1954,1,706.6605235
2823750,mean,estimated,1954,2,1418.902746
2823750,mean,estimated,1954,3,2525.718311
2823750,mean,estimated,1954,4,4207.551287
2823750,mean,estimated,1954,5,5110.975357
2823750,mean,estimated,1954,6,2427.353638
2823750,mean,estimated,1954,7,809.1715989
2823750,mean,estimated,1954,8,366.0947066
2823750,mean,estimated,1954,9,299.2891181
2823750,mean,estimated,1954,10,234.0751258
2823750,mean,estimated,1954,11,328.2975814
2823750,mean,estimated,1954,12,705.3799403
2823750,mean,estimated,1955,1,692.4922504
2823750,mean,estimated,1955,2,1103.325669
2823750,mean,estimated,1955,3,1418.819687
2823750,mean,estimated,1955,4,2524.803823
2823750,mean,estimated,1955,5,4551.58984
2823750,mean,estimated,1955,6,2439.99393
2823750,mean,estimated,1955,7,907.2584891
2823750,mean,estimated,1955,8,412.3532526
2823750,mean,estimated,1955,9,264.1884661
2823750,mean,estimated,1955,10,226.2963076
2823750,mean,estimated,1955,11,231.1149381
2823750,mean,estimated,1955,12,9043.942027
2823750,mean,estimated,1956,1,6222.298133
2823750,mean,estimated,1956,2,3154.894065
2823750,mean,estimated,1956,3,2794.506157
2823750,mean,estimated,1956,4,4211.885579
2823750,mean,estimated,1956,5,7900.413085
2823750,mean,estimated,1956,6,5148.528056
2823750,mean,estimated,1956,7,1662.765787
2823750,mean,estimated,1956,8,663.2361385
2823750,mean,estimated,1956,9,406.8843083
2823750,mean,estimated,1956,10,480.2776451
2823750,mean,estimated,1956,11,461.0390679
2823750,mean,estimated,1956,12,575.3224019
2823750,mean,estimated,1957,1,572.1986556
2823750,mean,estimated,1957,2,1142.756947
2823750,mean,estimated,1957,3,1519.611766
2823750,mean,estimated,1957,4,2651.450022
2823750,mean,estimated,1957,5,4390.678587
2823750,mean,estimated,1957,6,3201.680175
2823750,mean,estimated,1957,7,773.6582567
2823750,mean,estimated,1957,8,352.7758784
2823750,mean,estimated,1957,9,270.4637943
2823750,mean,estimated,1957,10,310.1738821
2823750,mean,estimated,1957,11,442.410536
2823750,mean,estimated,1957,12,735.1429047
2823750,mean,estimated,1958,1,791.6532334
2823750,mean,estimated,1958,2,2804.741429
2823750,mean,estimated,1958,3,3477.598732
2823750,mean,estimated,1958,4,5902.187258
2823750,mean,estimated,1958,5,9684.098087
2823750,mean,estimated,1958,6,6093.211282
