datetime,flow_cfs
10/1/1993,525.0
10/2/1993,336.0
10/3/1993,279.5
10/4/1993,223.0
10/5/1993,1118.0
10/6/1993,155.0
10/7/1993,290.0
10/8/1993,425.0
10/9/1993,263.5
10/10/1993,102.0
10/11/1993,593.0
10/12/1993,641.0
10/13/1993,320.5
10/14/1993,342.75
10/15/1993,365.0
10/16/1993,573.0
10/17/1993,838.0
10/18/1993,429.0
10/19/1993,223.0
10/20/1993,236.0
10/21/1993,249.0
10/22/1993,483.0
10/23/1993,143.0
10/24/1993,82.0
10/25/1993,168.0
10/26/1993,289.0
10/27/1993,393.0
10/28/1993,3.0
10/29/1993,204.0
10/30/1993,312.5
10/31/1993,421.0
11/1/1993,210.5
11/2/1993,286.25
11/3/1993,362.0
11/4/1993,312.0
11/5/1993,262.0
11/6/1993,131.0
11/7/1993,172.5
11/8/1993,214.0
11/9/1993,321.5
11/10/1993,429.0
11/11/1993,327.0
11/12/1993,409.0
11/13/1993,204.5
11/14/1993,277.75
11/15/1993,351.0
11/16/1993,202.0
11/17/1993,350.0
11/18/1993,498.0
11/19/1993,509.0
11/20/1993,244.0
11/21/1993,483.0
11/22/1993,241.5
11/23/1993,447.75
11/24/1993,654.0
11/25/1993,482.0
11/26/1993,462.0
11/27/1993,442.0
11/28/1993,511.0
11/29/1993,580.0
11/30/1993,861.0
12/1/1993,2029.0
12/2/1993,1134.5
12/3/1993,240.0
12/4/1993,92.0
12/5/1993,195.0
12/6/1993,902.0
12/7/1993,41.0
12/8/1993,135.0
12/9/1993,229.0
12/10/1993,336.0
12/11/1993,443.0
12/12/1993,832.0
12/13/1993,840.0
12/14/1993,414.0
12/15/1993,356.0
12/16/1993,612.0
12/17/1993,962.0
12/18/1993,787.5
12/19/1993,613.0
12/20/1993,364.5
12/21/1993,116.0
12/22/1993,281.0
12/23/1993,374.0
12/24/1993,467.0
12/25/1993,269.0
12/26/1993,302.5
12/27/1993,336.0
12/28/1993,450.0
12/29/1993,450.0
12/30/1993,453.0
12/31/1993,112.0
1/1/1994,262.0
1/2/1994,374.0
1/3/1994,324.0
1/4/1994,478.0
1/5/1994,378.5
1/6/1994,279.0
1/7/1994,678.0
1/8/1994,596.0
1/9/1994,327.0
1/10/1994,58.0
1/11/1994,565.0
1/12/1994,23.0
1/13/1994,427.0
1/14/1994,291.0
1/15/1994,145.5
1/16/1994,601.75
1/17/1994,1058.0
1/18/1994,591.0
1/19/1994,350.5
1/20/1994,110.0
1/21/1994,134.0
1/22/1994,158.0
1/23/1994,109.0
1/24/1994,1073.0
1/25/1994,482.0
1/26/1994,969.0
1/27/1994,350.0
1/28/1994,421.0
1/29/1994,418.0
1/30/1994,539.0
1/31/1994,350.0
2/1/1994,149.0
2/2/1994,329.0
2/3/1994,398.0
2/4/1994,181.0
2/5/1994,202.0
2/6/1994,223.0
2/7/1994,746.0
2/8/1994,2501.0
2/9/1994,3497.0
2/10/1994,1308.0
2/11/1994,1104.0
2/12/1994,404.0
2/13/1994,525.0
2/14/1994,563.0
2/15/1994,594.0
2/16/1994,192.0
2/17/1994,1464.0
2/18/1994,1301.0
2/19/1994,1190.0
2/20/1994,1317.0
2/21/1994,814.0
2/22/1994,1164.0
2/23/1994,433.0
2/24/1994,842.0
2/25/1994,860.0
2/26/1994,1088.0
2/27/1994,1205.0
2/28/1994,1271.0
3/1/1994,874.0
3/2/1994,1673.0
3/3/1994,1580.0
3/4/1994,1242.0
3/5/1994,2210.0
3/6/1994,1982.0
3/7/1994,1756.0
3/8/1994,1751.0
3/9/1994,1725.0
3/10/1994,1794.0
3/11/1994,1946.0
3/12/1994,1161.0
3/13/1994,1981.0
3/14/1994,1125.0
3/15/1994,2478.0
3/16/1994,1679.0
3/17/1994,2156.0
3/18/1994,1531.0
3/19/1994,1983.0
3/20/1994,1389.0
3/21/1994,1952.0
3/22/1994,1664.0
3/23/1994,1880.0
3/24/1994,1004.0
3/25/1994,1545.0
3/26/1994,1302.0
3/27/1994,1373.0
3/28/1994,2100.0
3/29/1994,1566.0
3/30/1994,1748.0
3/31/1994,1922.0
4/1/1994,2416.0
4/2/1994,2332.0
4/3/1994,2615.0
4/4/1994,2698.0
4/5/1994,2359.0
4/6/1994,2225.0
4/7/1994,1366.0
4/8/1994,1932.0
4/9/1994,1999.0
4/10/1994,2267.0
4/11/1994,1824.0
4/12/1994,1385.0
4/13/1994,1906.0
4/14/1994,2229.0
4/15/1994,2945.0
4/16/1994,3733.0
4/17/1994,4281.0
4/18/1994,3864.0
4/19/1994,6521.0
4/20/1994,6352.0
4/21/1994,6171.0
4/22/1994,5187.0
4/23/1994,4443.0
4/24/1994,3757.0
4/25/1994,3604.0
4/26/1994,3488.0
4/27/1994,2301.0
4/28/1994,2739.0
4/29/1994,2303.0
4/30/1994,2510.0
5/1/1994,2932.0
5/2/1994,2663.0
5/3/1994,3526.0
5/4/1994,3293.0
5/5/1994,4418.0
5/6/1994,4706.0
5/7/1994,4102.0
5/8/1994,3916.0
5/9/1994,3843.0
5/10/1994,4073.0
5/11/1994,6267.0
5/12/1994,6308.0
5/13/1994,7369.0
5/14/1994,6264.0
5/15/1994,6342.0
5/16/1994,4801.0
5/17/1994,3206.0
5/18/1994,3727.0
5/19/1994,3455.0
5/20/1994,3093.0
5/21/1994,3996.0
5/22/1994,3519.0
5/23/1994,3720.0
5/24/1994,4556.0
5/25/1994,4106.0
5/26/1994,4696.0
5/27/1994,4765.0
5/28/1994,5418.0
5/29/1994,3941.0
5/30/1994,5037.0
5/31/1994,6316.0
6/1/1994,5350.0
6/2/1994,4354.0
6/3/1994,4186.0
6/4/1994,3953.0
6/5/1994,2862.0
6/6/1994,2884.0
6/7/1994,3059.0
6/8/1994,2363.0
6/9/1994,2686.0
6/10/1994,2226.0
6/11/1994,2066.0
6/12/1994,2828.0
6/13/1994,2298.0
6/14/1994,1725.0
6/15/1994,1807.0
6/16/1994,1286.0
6/17/1994,1199.0
6/18/1994,1101.0
6/19/1994,1196.0
6/20/1994,829.0
6/21/1994,1038.0
6/22/1994,1176.0
6/23/1994,338.0
6/24/1994,1118.0
6/25/1994,400.0
6/26/1994,1254.0
6/27/1994,588.0
6/28/1994,557.0
6/29/1994,622.0
6/30/1994,651.0
7/1/1994,553.0
7/2/1994,665.0
7/3/1994,559.0
7/4/1994,301.0
7/5/1994,869.0
7/6/1994,199.0
7/7/1994,167.0
7/8/1994,750.0
7/9/1994,442.0
7/10/1994,234.0
7/11/1994,913.0
7/12/1994,556.0
7/13/1994,199.0
7/14/1994,344.0
7/15/1994,556.0
7/16/1994,239.0
7/17/1994,194.0
7/18/1994,213.0
7/19/1994,519.0
7/20/1994,325.5
7/21/1994,132.0
7/22/1994,923.0
7/23/1994,265.0
7/24/1994,299.5
7/25/1994,334.0
7/26/1994,428.0
7/27/1994,694.0
7/28/1994,253.0
7/29/1994,397.0
7/30/1994,604.0
7/31/1994,811.0
8/1/1994,103.0
8/2/1994,337.0
8/3/1994,337.0
8/4/1994,337.0
8/5/1994,458.0
8/6/1994,170.0
8/7/1994,311.0
8/8/1994,399.5
8/9/1994,488.0
8/10/1994,341.0
8/11/1994,141.0
8/12/1994,141.0
8/13/1994,198.0
8/14/1994,117.0
8/15/1994,519.0
8/16/1994,321.0
8/17/1994,416.0
8/18/1994,511.0
8/19/1994,410.0
8/20/1994,309.0
8/21/1994,271.0
8/22/1994,66.0
8/23/1994,82.0
8/24/1994,346.5
8/25/1994,611.0
8/26/1994,279.0
8/27/1994,213.0
8/28/1994,532.0
8/29/1994,19.0
8/30/1994,337.0
8/31/1994,249.0
9/1/1994,163.5
9/2/1994,78.0
9/3/1994,292.0
9/4/1994,141.0
9/5/1994,101.0
9/6/1994,264.0
9/7/1994,344.5
9/8/1994,425.0
9/9/1994,212.5
9/10/1994,472.75
9/11/1994,733.0
9/12/1994,263.0
9/13/1994,158.0
9/14/1994,89.0
9/15/1994,302.0
9/16/1994,707.0
9/17/1994,597.0
9/18/1994,487.0
9/19/1994,375.5
9/20/1994,264.0
9/21/1994,119.0
9/22/1994,66.5
9/23/1994,14.0
9/24/1994,140.0
9/25/1994,298.5
9/26/1994,457.0
9/27/1994,228.5
9/28/1994,114.25
9/29/1994,260.625
9/30/1994,407.0
10/1/1994,283.0
10/2/1994,6.0
10/3/1994,260.5
10/4/1994,515.0
10/5/1994,774.0
10/6/1994,650.0
10/7/1994,619.0
10/8/1994,495.5
10/9/1994,372.0
10/10/1994,335.0
10/11/1994,298.0
10/12/1994,63.0
10/13/1994,165.0
10/14/1994,82.5
10/15/1994,41.25
10/16/1994,209.125
10/17/1994,377.0
10/18/1994,209.0
10/19/1994,104.5
10/20/1994,52.25
10/21/1994,82.625
10/22/1994,113.0
10/23/1994,684.0
10/24/1994,324.0
10/25/1994,290.5
10/26/1994,257.0
10/27/1994,180.0
10/28/1994,103.0
10/29/1994,220.0
10/30/1994,647.0
10/31/1994,28.0
11/1/1994,14.0
11/2/1994,107.5
11/3/1994,201.0
11/4/1994,130.0
11/5/1994,4464.0
11/6/1994,7239.0
11/7/1994,1101.0
11/8/1994,1356.5
11/9/1994,1612.0
11/10/1994,788.0
11/11/1994,1431.0
11/12/1994,865.0
11/13/1994,436.0
11/14/1994,254.0
11/15/1994,1575.0
11/16/1994,1473.5
11/17/1994,1372.0
11/18/1994,823.0
11/19/1994,633.0
11/20/1994,879.0
11/21/1994,732.0
11/22/1994,846.0
11/23/1994,365.0
11/24/1994,788.0
11/25/1994,920.0
11/26/1994,1673.0
11/27/1994,584.0
11/28/1994,834.0
11/29/1994,786.0
11/30/1994,1444.0
12/1/1994,400.0
12/2/1994,1508.0
12/3/1994,969.0
12/4/1994,1113.0
12/5/1994,1267.0
12/6/1994,1561.0
12/7/1994,905.0
12/8/1994,1019.0
12/9/1994,821.0
12/10/1994,637.0
12/11/1994,1059.0
12/12/1994,834.0
12/13/1994,823.0
12/14/1994,899.0
12/15/1994,741.0
12/16/1994,876.0
