,C,D,BN,AN,W
2/1/1952,150,150,175,300,300
2/2/1952,150,150,175,300,300
2/3/1952,150,150,175,300,300
2/4/1952,150,150,175,300,300
2/5/1952,150,150,175,300,300
2/6/1952,150,150,175,300,300
2/7/1952,150,150,175,300,300
2/8/1952,150,150,175,300,300
2/9/1952,150,150,175,300,300
2/10/1952,150,150,175,300,300
2/11/1952,150,150,175,300,300
2/12/1952,150,150,175,300,300
2/13/1952,150,150,175,300,300
2/14/1952,150,150,175,300,300
2/15/1952,150,150,175,300,300
2/16/1952,150,150,175,300,300
2/17/1952,150,150,175,300,300
2/18/1952,150,150,175,300,300
2/19/1952,150,150,175,300,300
2/20/1952,150,150,175,300,300
2/21/1952,150,150,175,300,300
2/22/1952,150,150,175,300,300
2/23/1952,150,150,175,300,300
2/24/1952,150,150,175,300,300
2/25/1952,150,150,175,300,300
2/26/1952,150,150,175,300,300
2/27/1952,150,150,175,300,300
2/28/1952,150,150,175,300,300
2/29/1952,150,150,175,300,300
3/1/1952,150,150,175,300,300
3/2/1952,150,150,175,300,300
3/3/1952,150,150,175,300,300
3/4/1952,150,150,175,300,300
3/5/1952,150,150,175,300,300
3/6/1952,150,150,175,300,300
3/7/1952,150,150,175,300,300
3/8/1952,150,150,175,300,300
3/9/1952,150,150,175,300,300
3/10/1952,150,150,175,300,300
3/11/1952,150,150,175,300,300
3/12/1952,150,150,175,300,300
3/13/1952,150,150,175,300,300
3/14/1952,150,150,175,300,300
3/15/1952,150,150,175,300,300
3/16/1952,150,150,175,300,300
3/17/1952,150,150,175,300,300
3/18/1952,150,150,175,300,300
3/19/1952,150,150,175,300,300
3/20/1952,150,150,175,300,300
3/21/1952,150,150,175,300,300
3/22/1952,150,150,175,300,300
3/23/1952,150,150,175,300,300
3/24/1952,150,150,175,300,300
3/25/1952,150,150,175,300,300
3/26/1952,150,150,175,300,300
3/27/1952,150,150,175,300,300
3/28/1952,150,150,175,300,300
3/29/1952,150,150,175,300,300
3/30/1952,150,150,175,300,300
3/31/1952,150,150,175,300,300
4/1/1952,150,150,175,300,300
4/2/1952,150,150,175,300,300
4/3/1952,150,150,175,300,300
4/4/1952,150,150,175,300,300
4/5/1952,150,150,175,300,300
4/6/1952,150,150,175,300,300
4/7/1952,150,150,175,300,300
4/8/1952,150,150,175,300,300
4/9/1952,150,150,175,300,300
4/10/1952,150,150,175,300,300
4/11/1952,150,150,175,300,300
4/12/1952,150,150,175,300,300
4/13/1952,150,150,175,300,300
4/14/1952,150,150,175,300,300
4/15/1952,150,150,175,300,300
4/16/1952,150,150,175,300,300
4/17/1952,150,150,175,300,300
4/18/1952,150,150,175,300,300
4/19/1952,150,150,175,300,300
4/20/1952,150,150,175,300,300
4/21/1952,150,150,175,300,300
4/22/1952,150,150,175,300,300
4/23/1952,150,150,175,300,300
4/24/1952,150,150,175,300,300
4/25/1952,150,150,175,300,300
4/26/1952,150,150,175,300,300
4/27/1952,150,150,175,300,300
4/28/1952,150,150,175,300,300
4/29/1952,150,150,175,300,300
4/30/1952,150,150,175,300,300
5/1/1952,548.4981316,1481.560793,2331.762001,3529.448117,3529.448117
5/2/1952,548.4981316,1481.560793,2331.762001,3529.448117,3529.448117
5/3/1952,548.4981316,1481.560793,2331.762001,3529.448117,3529.448117
5/4/1952,548.4981316,1481.560793,2331.762001,3529.448117,3529.448117
5/5/1952,548.4981316,1481.560793,2331.762001,3529.448117,3529.448117
5/6/1952,548.4981316,1481.560793,2331.762001,3529.448117,3529.448117
5/7/1952,548.4981316,1481.560793,2331.762001,3529.448117,3529.448117
5/8/1952,548.4981316,1481.560793,2331.762001,3529.448117,3529.448117
5/9/1952,548.4981316,1481.560793,2331.762001,3529.448117,3529.448117
5/10/1952,548.4981316,1481.560793,2331.762001,3529.448117,3529.448117
5/11/1952,548.4981316,1481.560793,2331.762001,3529.448117,3529.448117
5/12/1952,548.4981316,1481.560793,2331.762001,3529.448117,3529.448117
5/13/1952,548.4981316,1481.560793,2331.762001,3529.448117,3529.448117
5/14/1952,548.4981316,1481.560793,2331.762001,3529.448117,3529.448117
5/15/1952,150,150,175,300,300
5/16/1952,150,150,175,300,300
5/17/1952,150,150,175,300,300
5/18/1952,150,150,175,300,300
5/19/1952,150,150,175,300,300
5/20/1952,150,150,175,300,300
5/21/1952,150,150,175,300,300
5/22/1952,150,150,175,300,300
5/23/1952,150,150,175,300,300
5/24/1952,150,150,175,300,300
5/25/1952,150,150,175,300,300
5/26/1952,150,150,175,300,300
5/27/1952,150,150,175,300,300
5/28/1952,150,150,175,300,300
5/29/1952,150,150,175,300,300
5/30/1952,150,150,175,300,300
5/31/1952,150,150,175,300,300
6/1/1952,50,75,75,250,250
6/2/1952,50,75,75,250,250
6/3/1952,50,75,75,250,250
6/4/1952,50,75,75,250,250
6/5/1952,50,75,75,250,250
6/6/1952,50,75,75,250,250
6/7/1952,50,75,75,250,250
6/8/1952,50,75,75,250,250
6/9/1952,50,75,75,250,250
6/10/1952,50,75,75,250,250
6/11/1952,50,75,75,250,250
6/12/1952,50,75,75,250,250
6/13/1952,50,75,75,250,250
6/14/1952,50,75,75,250,250
6/15/1952,50,75,75,250,250
6/16/1952,50,75,75,250,250
6/17/1952,50,75,75,250,250
6/18/1952,50,75,75,250,250
6/19/1952,50,75,75,250,250
6/20/1952,50,75,75,250,250
6/21/1952,50,75,75,250,250
6/22/1952,50,75,75,250,250
6/23/1952,50,75,75,250,250
6/24/1952,50,75,75,250,250
6/25/1952,50,75,75,250,250
6/26/1952,50,75,75,250,250
6/27/1952,50,75,75,250,250
6/28/1952,50,75,75,250,250
6/29/1952,50,75,75,250,250
6/30/1952,50,75,75,250,250
7/1/1952,50,75,75,250,250
7/2/1952,50,75,75,250,250
7/3/1952,50,75,75,250,250
7/4/1952,50,75,75,250,250
7/5/1952,50,75,75,250,250
7/6/1952,50,75,75,250,250
7/7/1952,50,75,75,250,250
7/8/1952,50,75,75,250,250
7/9/1952,50,75,75,250,250
7/10/1952,50,75,75,250,250
7/11/1952,50,75,75,250,250
7/12/1952,50,75,75,250,250
7/13/1952,50,75,75,250,250
7/14/1952,50,75,75,250,250
7/15/1952,50,75,75,250,250
7/16/1952,50,75,75,250,250
7/17/1952,50,75,75,250,250
7/18/1952,50,75,75,250,250
7/19/1952,50,75,75,250,250
7/20/1952,50,75,75,250,250
7/21/1952,50,75,75,250,250
7/22/1952,50,75,75,250,250
7/23/1952,50,75,75,250,250
7/24/1952,50,75,75,250,250
7/25/1952,50,75,75,250,250
7/26/1952,50,75,75,250,250
7/27/1952,50,75,75,250,250
7/28/1952,50,75,75,250,250
7/29/1952,50,75,75,250,250
7/30/1952,50,75,75,250,250
7/31/1952,50,75,75,250,250
8/1/1952,50,75,75,250,250
8/2/1952,50,75,75,250,250
8/3/1952,50,75,75,250,250
8/4/1952,50,75,75,250,250
8/5/1952,50,75,75,250,250
8/6/1952,50,75,75,250,250
8/7/1952,50,75,75,250,250
8/8/1952,50,75,75,250,250
8/9/1952,50,75,75,250,250
8/10/1952,50,75,75,250,250
8/11/1952,50,75,75,250,250
8/12/1952,50,75,75,250,250
8/13/1952,50,75,75,250,250
8/14/1952,50,75,75,250,250
8/15/1952,50,75,75,250,250
8/16/1952,50,75,75,250,250
8/17/1952,50,75,75,250,250
8/18/1952,50,75,75,250,250
8/19/1952,50,75,75,250,250
8/20/1952,50,75,75,250,250
8/21/1952,50,75,75,250,250
8/22/1952,50,75,75,250,250
8/23/1952,50,75,75,250,250
8/24/1952,50,75,75,250,250
8/25/1952,50,75,75,250,250
8/26/1952,50,75,75,250,250
8/27/1952,50,75,75,250,250
8/28/1952,50,75,75,250,250
8/29/1952,50,75,75,250,250
8/30/1952,50,75,75,250,250
8/31/1952,50,75,75,250,250
9/1/1952,50,75,75,250,250
9/2/1952,50,75,75,250,250
9/3/1952,50,75,75,250,250
9/4/1952,50,75,75,250,250
9/5/1952,50,75,75,250,250
9/6/1952,50,75,75,250,250
9/7/1952,50,75,75,250,250
9/8/1952,50,75,75,250,250
9/9/1952,50,75,75,250,250
9/10/1952,50,75,75,250,250
9/11/1952,50,75,75,250,250
9/12/1952,50,75,75,250,250
9/13/1952,50,75,75,250,250
9/14/1952,50,75,75,250,250
9/15/1952,50,75,75,250,250
9/16/1952,50,75,75,250,250
9/17/1952,50,75,75,250,250
9/18/1952,50,75,75,250,250
9/19/1952,50,75,75,250,250
9/20/1952,50,75,75,250,250
