,flow_cfs
1993-10-01,100.0
1993-10-02,100.0
1993-10-03,100.0
1993-10-04,100.0
1993-10-05,100.0
1993-10-06,100.0
1993-10-07,100.0
1993-10-08,100.0
1993-10-09,100.0
1993-10-10,100.0
1993-10-11,100.0
1993-10-12,100.0
1993-10-13,100.0
1993-10-14,100.0
1993-10-15,100.0
1993-10-16,150.0
1993-10-17,150.0
1993-10-18,150.0
1993-10-19,150.0
1993-10-20,150.0
1993-10-21,150.0
1993-10-22,150.0
1993-10-23,150.0
1993-10-24,150.0
1993-10-25,150.0
1993-10-26,150.0
1993-10-27,150.0
1993-10-28,150.0
1993-10-29,150.0
1993-10-30,150.0
1993-10-31,150.0
1993-11-01,150.0
1993-11-02,150.0
1993-11-03,150.0
1993-11-04,150.0
1993-11-05,150.0
1993-11-06,150.0
1993-11-07,150.0
1993-11-08,150.0
1993-11-09,150.0
1993-11-10,150.0
1993-11-11,150.0
1993-11-12,150.0
1993-11-13,150.0
1993-11-14,150.0
1993-11-15,150.0
1993-11-16,150.0
1993-11-17,150.0
1993-11-18,150.0
1993-11-19,150.0
1993-11-20,150.0
1993-11-21,150.0
1993-11-22,150.0
1993-11-23,150.0
1993-11-24,150.0
1993-11-25,150.0
1993-11-26,150.0
1993-11-27,150.0
1993-11-28,150.0
1993-11-29,150.0
1993-11-30,150.0
1993-12-01,150.0
1993-12-02,150.0
1993-12-03,150.0
1993-12-04,150.0
1993-12-05,150.0
1993-12-06,150.0
1993-12-07,150.0
1993-12-08,150.0
1993-12-09,150.0
1993-12-10,150.0
1993-12-11,150.0
1993-12-12,150.0
1993-12-13,150.0
1993-12-14,150.0
1993-12-15,150.0
1993-12-16,150.0
1993-12-17,150.0
1993-12-18,150.0
1993-12-19,150.0
1993-12-20,150.0
1993-12-21,150.0
1993-12-22,150.0
1993-12-23,150.0
1993-12-24,150.0
1993-12-25,150.0
1993-12-26,150.0
1993-12-27,150.0
1993-12-28,150.0
1993-12-29,150.0
1993-12-30,150.0
1993-12-31,150.0
1994-01-01,150.0
1994-01-02,150.0
1994-01-03,150.0
1994-01-04,150.0
1994-01-05,150.0
1994-01-06,150.0
1994-01-07,150.0
1994-01-08,150.0
1994-01-09,150.0
1994-01-10,150.0
1994-01-11,150.0
1994-01-12,150.0
1994-01-13,150.0
1994-01-14,150.0
1994-01-15,150.0
1994-01-16,150.0
1994-01-17,150.0
1994-01-18,150.0
1994-01-19,150.0
1994-01-20,150.0
1994-01-21,150.0
1994-01-22,150.0
1994-01-23,150.0
1994-01-24,150.0
1994-01-25,150.0
1994-01-26,150.0
1994-01-27,150.0
1994-01-28,150.0
1994-01-29,150.0
1994-01-30,150.0
1994-01-31,150.0
1994-02-01,149.0
1994-02-02,329.0
1994-02-03,398.0
1994-02-04,181.0
1994-02-05,202.0
1994-02-06,223.0
1994-02-07,746.0
1994-02-08,2501.0
1994-02-09,3497.0
1994-02-10,1308.0
1994-02-11,1104.0
1994-02-12,404.0
1994-02-13,525.0
1994-02-14,563.0
1994-02-15,594.0
1994-02-16,192.0
1994-02-17,1464.0
1994-02-18,1301.0
1994-02-19,1190.0
1994-02-20,1317.0
1994-02-21,814.0
1994-02-22,1164.0
1994-02-23,433.0
1994-02-24,842.0
1994-02-25,860.0
1994-02-26,1088.0
1994-02-27,1205.0
1994-02-28,1271.0
1994-03-01,874.0
1994-03-02,1673.0
1994-03-03,1580.0
1994-03-04,1242.0
1994-03-05,2210.0
1994-03-06,1982.0
1994-03-07,1756.0
1994-03-08,1751.0
1994-03-09,1725.0
1994-03-10,1794.0
1994-03-11,1946.0
1994-03-12,1161.0
1994-03-13,1981.0
1994-03-14,1125.0
1994-03-15,2478.0
1994-03-16,1679.0
1994-03-17,2156.0
1994-03-18,1531.0
1994-03-19,1983.0
1994-03-20,1389.0
1994-03-21,1952.0
1994-03-22,1664.0
1994-03-23,1880.0
1994-03-24,1004.0
1994-03-25,1545.0
1994-03-26,1302.0
1994-03-27,1373.0
1994-03-28,2100.0
1994-03-29,1566.0
1994-03-30,1748.0
1994-03-31,1922.0
1994-04-01,2416.0
1994-04-02,2332.0
1994-04-03,2615.0
1994-04-04,2698.0
1994-04-05,2359.0
1994-04-06,2225.0
1994-04-07,1366.0
1994-04-08,1932.0
1994-04-09,1999.0
1994-04-10,2267.0
1994-04-11,1824.0
1994-04-12,1385.0
1994-04-13,1906.0
1994-04-14,2229.0
1994-04-15,2945.0
1994-04-16,3733.0
1994-04-17,4281.0
1994-04-18,3864.0
1994-04-19,6521.0
1994-04-20,6352.0
1994-04-21,6171.0
1994-04-22,5187.0
1994-04-23,4443.0
1994-04-24,3757.0
1994-04-25,3604.0
1994-04-26,3488.0
1994-04-27,2301.0
1994-04-28,2739.0
1994-04-29,2303.0
1994-04-30,2510.0
1994-05-01,2932.0
1994-05-02,2663.0
1994-05-03,3526.0
1994-05-04,3293.0
1994-05-05,4418.0
1994-05-06,4706.0
1994-05-07,4102.0
1994-05-08,3916.0
1994-05-09,3843.0
1994-05-10,4073.0
1994-05-11,6267.0
