"WY","Oct_Mar","Apr_Jul","WYsum","Index","Yr_type","location","WY_type"
1901,NA,NA,NA,NA,NA,"Sacramento Valley",NA
1902,NA,NA,NA,NA,NA,"Sacramento Valley",NA
1903,NA,NA,NA,NA,NA,"Sacramento Valley",NA
1904,NA,NA,NA,NA,NA,"Sacramento Valley",NA
1905,NA,NA,NA,NA,NA,"Sacramento Valley",NA
1906,12.57,12.92,26.71,11.76,"Wet","Sacramento Valley","W"
1907,18.96,13.45,33.7,14.07,"Wet","Sacramento Valley","W"
1908,8.29,5.6,14.77,7.73,"Below Normal","Sacramento Valley","BN"
1909,20.61,8.98,30.68,12.1,"Wet","Sacramento Valley","W"
1910,13.12,6.11,20.12,9.38,"Wet","Sacramento Valley","W"
1911,12.27,13.12,26.38,11.74,"Wet","Sacramento Valley","W"
1912,4.84,5.65,11.41,6.71,"Below Normal","Sacramento Valley","BN"
1913,5.72,6.29,12.85,6.24,"Dry","Sacramento Valley","D"
1914,16.72,10.08,27.81,10.92,"Wet","Sacramento Valley","W"
1915,11.41,11.42,23.86,10.99,"Wet","Sacramento Valley","W"
1916,14.25,8.89,24.14,10.83,"Wet","Sacramento Valley","W"
1917,7.25,9.14,17.26,8.83,"Above Normal","Sacramento Valley","AN"
1918,5.27,4.89,10.99,6.19,"Dry","Sacramento Valley","D"
1919,8.12,6.77,15.66,7,"Below Normal","Sacramento Valley","BN"
1920,3.63,4.91,9.2,5.15,"Critical","Sacramento Valley","C"
1921,15.47,7.52,23.8,9.2,"Above Normal","Sacramento Valley","AN"
1922,6.63,10.57,17.98,8.97,"Above Normal","Sacramento Valley","AN"
1923,6.21,6.27,13.21,7.06,"Below Normal","Sacramento Valley","BN"
1924,3.27,1.94,5.74,3.87,"Critical","Sacramento Valley","C"
1925,8.76,6.51,15.99,6.39,"Dry","Sacramento Valley","D"
1926,6.37,4.79,11.76,5.75,"Dry","Sacramento Valley","D"
1927,14.34,8.75,23.83,9.52,"Wet","Sacramento Valley","W"
1928,10.24,5.86,16.76,8.27,"Above Normal","Sacramento Valley","AN"
1929,4,3.84,8.4,5.22,"Critical","Sacramento Valley","C"
1930,8.24,4.65,13.52,5.9,"Dry","Sacramento Valley","D"
1931,3.52,2.09,6.1,3.66,"Critical","Sacramento Valley","C"
1932,6.28,6.24,13.12,5.48,"Dry","Sacramento Valley","D"
1933,3.73,4.66,8.94,4.63,"Critical","Sacramento Valley","C"
1934,5.68,2.45,8.63,4.07,"Critical","Sacramento Valley","C"
1935,6.27,9.69,16.59,6.98,"Below Normal","Sacramento Valley","BN"
1936,10.32,6.41,17.35,7.75,"Below Normal","Sacramento Valley","BN"
1937,5.5,7.24,13.33,6.87,"Below Normal","Sacramento Valley","BN"
1938,17.96,12.93,31.83,12.62,"Wet","Sacramento Valley","W"
1939,4.56,3.04,8.18,5.58,"Dry","Sacramento Valley","D"
1940,14.78,6.93,22.43,8.88,"Above Normal","Sacramento Valley","AN"
1941,16.32,9.77,27.08,11.47,"Wet","Sacramento Valley","W"
1942,14.33,9.93,25.24,11.27,"Wet","Sacramento Valley","W"
1943,13.37,6.9,21.13,9.77,"Wet","Sacramento Valley","W"
1944,4.81,4.93,10.43,6.35,"Dry","Sacramento Valley","D"
1945,8.42,5.92,15.06,6.8,"Below Normal","Sacramento Valley","BN"
1946,10.89,5.97,17.62,7.7,"Below Normal","Sacramento Valley","BN"
1947,5.9,3.83,10.39,5.61,"Dry","Sacramento Valley","D"
1948,5.39,9.55,15.75,7.12,"Below Normal","Sacramento Valley","BN"
1949,5.73,5.59,11.97,6.09,"Dry","Sacramento Valley","D"
1950,7.01,6.72,14.44,6.62,"Below Normal","Sacramento Valley","BN"
1951,16.77,5.42,22.95,9.18,"Above Normal","Sacramento Valley","AN"
1952,13.86,13.68,28.6,12.38,"Wet","Sacramento Valley","W"
1953,10.84,8.26,20.09,9.55,"Wet","Sacramento Valley","W"
1954,9.74,6.81,17.43,8.51,"Above Normal","Sacramento Valley","AN"
1955,5.19,5.07,10.98,6.14,"Dry","Sacramento Valley","D"
1956,20.32,8.6,29.89,11.38,"Wet","Sacramento Valley","W"
1957,7.72,6.29,14.89,7.83,"Above Normal","Sacramento Valley","AN"
1958,16.37,12.24,29.71,12.16,"Wet","Sacramento Valley","W"
1959,7.4,3.84,12.05,6.75,"Below Normal","Sacramento Valley","BN"
1960,7.72,4.65,13.06,6.2,"Dry","Sacramento Valley","D"
1961,6.87,4.39,11.97,5.68,"Dry","Sacramento Valley","D"
1962,8.17,6.23,15.11,6.65,"Below Normal","Sacramento Valley","BN"
1963,12.01,10.09,22.99,9.63,"Wet","Sacramento Valley","W"
1964,5.9,4.37,10.92,6.41,"Dry","Sacramento Valley","D"
1965,16.59,8.13,25.64,10.15,"Wet","Sacramento Valley","W"
1966,7.42,4.84,12.95,7.16,"Below Normal","Sacramento Valley","BN"
1967,12.14,11.01,24.06,10.2,"Wet","Sacramento Valley","W"
1968,8.66,4.12,13.64,7.24,"Below Normal","Sacramento Valley","BN"
1969,15.33,10.68,26.98,11.05,"Wet","Sacramento Valley","W"
1970,18.87,4.35,24.06,10.4,"Wet","Sacramento Valley","W"
1971,12.71,8.9,22.57,10.37,"Wet","Sacramento Valley","W"
1972,7.61,5.02,13.43,7.29,"Below Normal","Sacramento Valley","BN"
1973,12.8,6.38,20.05,8.58,"Above Normal","Sacramento Valley","AN"
1974,21.69,9.78,32.5,12.99,"Wet","Sacramento Valley","W"
1975,9.24,8.95,19.23,9.35,"Wet","Sacramento Valley","W"
1976,4.63,2.75,8.2,5.29,"Critical","Sacramento Valley","C"
1977,2.49,1.93,5.12,3.11,"Critical","Sacramento Valley","C"
1978,14.9,8.12,23.92,8.65,"Above Normal","Sacramento Valley","AN"
1979,6.06,5.64,12.41,6.67,"Below Normal","Sacramento Valley","BN"
1980,15.49,6,22.33,9.04,"Above Normal","Sacramento Valley","AN"
1981,6.81,3.63,11.1,6.21,"Dry","Sacramento Valley","D"
1982,20.56,11.82,33.41,12.76,"Wet","Sacramento Valley","W"
1983,22.75,13.66,37.68,15.29,"Wet","Sacramento Valley","W"
1984,15.98,5.52,22.35,10,"Wet","Sacramento Valley","W"
1985,6.24,4,11.04,6.47,"Dry","Sacramento Valley","D"
1986,19.45,5.45,25.83,9.96,"Wet","Sacramento Valley","W"
1987,5.85,2.8,9.27,5.86,"Dry","Sacramento Valley","D"
1988,5.78,2.9,9.23,4.65,"Critical","Sacramento Valley","C"
1989,9.03,5.07,14.82,6.13,"Dry","Sacramento Valley","D"
1990,4.94,3.72,9.26,4.81,"Critical","Sacramento Valley","C"
1991,3.9,4.01,8.44,4.21,"Critical","Sacramento Valley","C"
1992,5.41,2.93,8.87,4.06,"Critical","Sacramento Valley","C"
1993,12.44,8.98,22.21,8.54,"Above Normal","Sacramento Valley","AN"
1994,4.55,2.73,7.81,5.02,"Critical","Sacramento Valley","C"
1995,19.83,13.6,34.55,12.89,"Wet","Sacramento Valley","W"
1996,13.05,8.37,22.29,10.26,"Wet","Sacramento Valley","W"
1997,20.22,4.39,25.42,10.82,"Wet","Sacramento Valley","W"
1998,17.65,12.54,31.4,13.31,"Wet","Sacramento Valley","W"
1999,12.97,7.26,21.19,9.8,"Wet","Sacramento Valley","W"
2000,12.06,5.96,18.9,8.94,"Above Normal","Sacramento Valley","AN"
2001,5.64,3.46,9.81,5.76,"Dry","Sacramento Valley","D"
2002,9.32,4.57,14.6,6.35,"Dry","Sacramento Valley","D"
2003,10.71,7.74,19.31,8.21,"Above Normal","Sacramento Valley","AN"
2004,10.95,4.4,16.04,7.51,"Below Normal","Sacramento Valley","BN"
2005,8.4,9.28,18.55,8.49,"Above Normal","Sacramento Valley","AN"
2006,18.06,13.09,32.09,13.2,"Wet","Sacramento Valley","W"
2007,6.59,3.04,10.28,6.19,"Dry","Sacramento Valley","D"
2008,5.9,3.82,10.28,5.16,"Critical","Sacramento Valley","C"
2009,7.05,5.3,13.02,5.78,"Dry","Sacramento Valley","D"
2010,7.45,7.78,16.01,7.08,"Below Normal","Sacramento Valley","BN"
2011,12.68,11.53,25.21,10.54,"Wet","Sacramento Valley","W"
2012,5.69,5.46,11.84,6.89,"Below Normal","Sacramento Valley","BN"
2013,8.52,3.01,12.19,5.83,"Dry","Sacramento Valley","D"
2014,4.29,2.59,7.46,4.07,"Critical","Sacramento Valley","C"
2015,6.91,1.77,9.23,4,"Critical","Sacramento Valley","C"
2016,12.24,4.6,17.48,6.71,"Below Normal","Sacramento Valley","BN"
2017,26.17,10.69,37.82,14.14,"Wet","Sacramento Valley","W"
2018,NA,NA,NA,NA,"BN","Sacramento Valley","BN"
2019,NA,NA,NA,NA,"W","Sacramento Valley","W"
2020,NA,NA,NA,NA,"D","Sacramento Valley","D"
2021,NA,NA,NA,NA,"C","Sacramento Valley","C"
2022,NA,NA,NA,NA,"C","Sacramento Valley","C"
2023,NA,NA,NA,NA,"W","Sacramento Valley","W"
